function,mechanism,dim_name,region,weight,citation
F6,IUCP,F0:optimal_zone_pred,NAcc,0.75,Cheung 2019
F6,LDAC,E0:stg_liking_coupling,STG,0.85,Gold et al. 2023a
F6,LDAC,E1:pleasure_gating,STG,0.8,Martinez-Molina et al. 2016
F6,LDAC,E2:ic_liking_interaction,STG,0.85,Gold et al. 2023a
F6,LDAC,E1:pleasure_gating,NAcc,0.75,Martinez-Molina et al. 2016
F6,LDAC,E2:ic_liking_interaction,A1_HG,0.7,Cheung et al. 2019
F6,MCCN,E0:theta_prefrontal,OFC,0.85,Chabin 2020
F6,MCCN,P0:network_state,insula,0.8,Chabin 2020
F6,MCCN,P0:network_state,SMA,0.75,Chabin 2020
F6,MCCN,P1:theta_pattern,STG,0.8,Chabin 2020
F6,MCCN,F0:chills_onset_pred,caudate,0.8,Salimpoor 2011
F6,MCCN,E3:chills_magnitude,NAcc,0.85,Salimpoor 2011
F6,MEAMR,E1:autobio_salience,dlPFC,0.85,Janata 2009
F6,MEAMR,E2:dmpfc_tracking,dlPFC,0.8,Janata 2009
F6,MEAMR,E0:familiarity_index,SMA,0.8,Janata 2009
F6,MEAMR,E0:familiarity_index,IFG,0.75,Janata 2009
F6,MEAMR,E0:familiarity_index,STG,0.75,Janata 2009
F6,MEAMR,E3:positive_affect,ACC,0.8,Janata 2009
F6,MEAMR,P0:memory_activation_state,NAcc,0.75,Salimpoor 2011
F6,MEAMR,F0:nostalgia_response_pred,caudate,0.7,Salimpoor 2011
F6,MORMR,f01:opioid_release,NAcc,0.9,Putkinen 2025
F6,MORMR,f01:opioid_release,OFC,0.85,Putkinen 2025
F6,MORMR,f02:chills_count,amygdala,0.8,Putkinen 2025
F6,MORMR,f03:nacc_binding,NAcc,0.9,Putkinen 2025
F6,MORMR,current_opioid_state,MGB,0.75,Putkinen 2025
F6,RPEM,vs_response,NAcc,0.9,Gold 2023
F6,RPEM,f01:surprise_signal,STG,0.85,Gold 2023
F6,RPEM,vs_activation_state,VTA,0.8,Salimpoor 2011
F6,SSPS,f01:ic_value,A1_HG,0.8,Cheung 2019
F6,SSPS,f02:entropy_value,A1_HG,0.75,Cheung 2019
F6,SSPS,f03:saddle_position,amygdala,0.8,Cheung 2019
F6,SSPS,f04:peak_proximity,hippocampus,0.75,Gold 2023
F6,SSPS,surface_position_state,amygdala,0.8,Cheung 2019
F6,SSPS,optimal_zone_pred,NAcc,0.75,Gold 2023
F6,SSRI,f01:synchrony_reward,caudate,0.8,Kokal 2011
F6,SSRI,M0:social_prediction_error,NAcc,0.75,Cheung 2019
F6,SSRI,P0:prefrontal_coupling,dlPFC,0.85,Ni 2024
F6,SSRI,P0:prefrontal_coupling,AG,0.75,Ni 2024
F6,SSRI,P1:endorphin_proxy,VTA,0.7,Dunbar 2012
F7,ASAP,P2:dorsal_activity,AG,0.85,Ross et al. 2018
F7,ASAP,M1:simulation_strength,SMA,0.8,Grahn & Brett 2007
F7,ASAP,M0:prediction_accuracy,putamen,0.8,Grahn & Brett 2007
F7,ASAP,P0:motor_to_auditory,A1_HG,0.75,Patel & Iversen 2014
F7,CTBB,E0:f25_cerebellar_timing,SOC,0.85,Okada 2022
F7,CTBB,P0:timing_precision,SOC,0.8,Ivry 1988
F7,CTBB,E1:f26_m1_modulation,PMC,0.65,Sansare 2025
F7,CTBB,M2:cerebellar_m1_coupling,PMC,0.6,Sansare 2025
F7,CTBB,M0:timing_enhancement,dlPFC,0.55,Sansare 2025
F7,CTBB,E2:f27_postural_control,SOC,0.75,Sansare 2025
F7,CTBB,P1:motor_stability,SOC,0.7,Sansare 2025
F7,CTBB,M1:sway_reduction,SOC,0.7,Sansare 2025
F7,DDSMI,P0:partner_sync,PMC,0.75,Kohler 2025
F7,DDSMI,P0:partner_sync,PMC,0.8,Kohler 2025
F7,DDSMI,P1:music_entrainment,STG,0.7,Bigand 2025
F7,DDSMI,M0:mTRF_social,dlPFC,0.75,Bigand 2025
F7,GSSM,M1:sma_m1_coupling,SMA,0.85,Yamashita 2025
F7,GSSM,P0:phase_lock_strength,PMC,0.85,Yamashita 2025
F7,GSSM,E0:phase_synchronization,putamen,0.8,Grahn & Brett 2007
F7,HGSIC,P0:pstg_activation,STG,0.85,Janata 2012
F7,HGSIC,P1:motor_preparation,PMC,0.75,Janata 2012
F7,HGSIC,f03:motor_groove,SMA,0.7,Grahn 2007
F7,HGSIC,M0:groove_index,putamen,0.6,Grahn 2007
F7,HMCE,f01:short_context,A1_HG,0.8,Koelsch 2009
F7,HMCE,P0:a1_stg_encoding,STG,0.75,Koelsch 2009
F7,HMCE,f03:long_context,STG,0.6,Pearce 2018
F7,HMCE,M0:context_depth,hippocampus,0.5,Tillmann 2003
F7,HMCE,M2:transition_dynamics,ACC,0.55,Koelsch 2009
F7,MSR,f04:high_freq_plv,A1_HG,0.85,L. Zhang 2015
F7,MSR,f05:p2_suppression,ACC,0.85,L. Zhang 2015
F7,MSR,bottom_up_precision,PMC,0.8,Grahn & Brett 2007
F7,MSR,training_level,dlPFC,0.8,Alpheis 2025
F7,MSR,processing_automaticity,SOC,0.75,Blasi 2025
F7,NSCP,E0:f22_neural_synchrony,SMA,0.85,Leeuwis 2021
F7,NSCP,P0:coherence_level,STG,0.8,Hasson 2004
F7,NSCP,E1:f23_commercial_prediction,NAcc,0.75,Berns 2010
F7,NSCP,P1:groove_response,PMC,0.8,Sarasso 2019
F7,NSCP,M0:isc_magnitude,SMA,0.8,Leeuwis 2021
F7,NSCP,M2:popularity_estimate,NAcc,0.7,Berns 2010
F7,NSCP,F2:catchiness_pred,PMC,0.65,Spiech 2022
F7,NSCP,F0:synchrony_pred,SMA,0.7,Leeuwis 2021
F7,PEOM,f01:period_entrainment,SMA,0.9,Grahn & Brett 2007
F7,PEOM,motor_period,putamen,0.9,Grahn & Brett 2007
F7,PEOM,f02:velocity_optimization,PMC,0.85,Thaut 2015
F7,PEOM,acceleration,SOC,0.8,Thaut 2009b
F7,SPMC,E0:sequence_planning,SMA,0.85,Grahn & Brett 2007
F7,SPMC,E1:motor_preparation,PMC,0.8,Pierrieau 2025
F7,SPMC,E2:execution_output,PMC,0.85,Kohler 2025
F7,SPMC,M2:timing_precision,SOC,0.8,Okada 2022
F7,SPMC,P0:sma_activity,putamen,0.75,Grahn & Brett 2007
F7,STC,E0:f28_interoceptive_coupling,insula,0.9,Kleber 2013
F7,STC,E1:f29_respiratory_integration,ACC,0.75,Zarate 2008
F7,STC,E2:f30_speech_sensorimotor,SMA,0.8,Kleber 2013
F7,STC,M0:connectivity_strength,insula,0.85,Zamorano 2023
F7,STC,M2:voice_body_coupling,MGB,0.7,Zamorano 2023
F7,STC,P0:insula_activity,PMC,0.75,Kleber 2013
F7,STC,P1:vocal_motor,putamen,0.7,Zamorano 2023
F7,STC,F0:connectivity_pred,insula,0.65,Zamorano 2023
F7,VRMSME,M0:vrms_advantage,SMA,0.85,Liang 2025
F7,VRMSME,M1:bilateral_index,PMC,0.8,Liang 2025
F7,VRMSME,M2:connectivity_strength,dlPFC,0.8,Liang 2025
F7,VRMSME,P1:sensorimotor_sync,PMC,0.7,Liang 2025
F8,CDMR,f01:mismatch_amplitude,STG,0.8,Rupp 2022
F8,CDMR,f02:context_modulation,STG,0.75,Rupp 2022
F8,CDMR,f03:subadditivity_index,IFG,0.75,Crespo-Bojorque 2018
F8,CDMR,f04:expertise_effect,IFG,0.8,Rupp 2022
F8,CDMR,P0:mismatch_signal,A1_HG,0.85,Crespo-Bojorque 2018
F8,ECT,f01:within_efficiency,IFG,0.85,Paraskevopoulos 2022
F8,ECT,f01:within_efficiency,STG,0.8,Leipold 2021
F8,ECT,f02:between_reduction,IFG,0.8,Paraskevopoulos 2022
F8,ECT,within_binding,A1_HG,0.75,Moller 2021
F8,ECT,network_isolation,STS,0.8,Moller 2021
F8,EDNR,f01:within_connectivity,STG,0.85,Leipold 2021
F8,EDNR,f01:within_connectivity,STG,0.85,Leipold 2021
F8,EDNR,f02:between_connectivity,IFG,0.8,Paraskevopoulos 2022
F8,EDNR,f03:compartmentalization,A1_HG,0.8,Moller 2021
F8,EDNR,f04:expertise_signature,AG,0.75,Papadaki 2023
F8,EDNR,f04:expertise_signature,vmPFC,0.7,Papadaki 2023
F8,ESME,f01:pitch_mmn,STG,0.85,Koelsch et al. 1999
F8,ESME,f02:rhythm_mmn,STG,0.8,Vuust et al. 2012
F8,ESME,f03:timbre_mmn,STG,0.8,Tervaniemi 2022
F8,ESME,f04:expertise_enhancement,IFG,0.75,Criscuolo et al. 2022
F8,ESME,F2:developmental_trajectory,A1_HG,0.8,Bucher et al. 2023
F8,SLEE,f03:multisensory_integration,IFG,0.85,Paraskevopoulos 2022
F8,SLEE,M1:pattern_memory,hippocampus,0.8,Billig 2022
F8,SLEE,P0:expectation_formation,A1_HG,0.75,Carbajal & Malmierca 2018
F8,SLEE,P2:pattern_segmentation,STG,0.75,Bridwell 2017
F8,SLEE,P1:cross_modal_binding,dlPFC,0.7,Porfyri 2025
F8,TSCP,f01:trained_timbre_response,STG,0.85,Pantev 2001
F8,TSCP,f02:timbre_specificity,STG,0.8,Bellmann 2024
F8,TSCP,f03:plasticity_magnitude,STG,0.75,Bellmann 2024
F8,TSCP,P0:recognition_quality,AG,0.8,Bellmann 2024
F8,TSCP,P1:enhanced_response,STG,0.8,Alluri 2012
F8,TSCP,P2:timbre_identity,STG,0.75,Sturm 2014
F8,TSCP,F0:timbre_continuation,STG,0.7,Halpern 2004
